annual_income,num_claims,avg_payout
30015.0,3818,3567.0729203771566
124993.0,725,3489.4284000000025
39784.0,4,2377.2925
41392.0,4,3257.995
37497.0,4,4940.365
55521.0,4,1615.4575
41759.0,4,6764.092500000001
39919.0,3,4427.2
36107.0,3,2749.2900000000004
34287.0,3,2630.1666666666665
52582.0,3,2364.27
45577.0,3,3926.5200000000004
42480.0,3,10262.366666666667
40017.0,3,4308.113333333334
30352.0,3,2438.476666666667
38668.0,3,4663.623333333333
42663.0,3,2982.4033333333336
52205.0,3,7418.016666666666
48295.0,3,1657.8033333333333
34557.0,3,3096.3266666666664
42205.0,3,5345.4800000000005
41233.0,3,3278.5033333333326
35662.0,3,3818.353333333334
31750.0,3,3344.76
32151.0,3,4173.743333333333
69060.0,3,1543.63
32673.0,3,2161.0
53240.0,3,2526.03
59855.0,3,3695.513333333334
55716.0,3,2069.6
35285.0,3,2947.7233333333334
40008.0,3,2974.6366666666668
40468.0,3,1676.0766666666666
38347.0,3,835.0
39694.0,3,5420.110000000001
35675.0,3,1407.55
31071.0,3,3121.5266666666666
46640.0,3,2532.3333333333335
40725.0,3,3746.273333333333
42061.0,3,3434.0633333333335
38360.0,3,2843.1133333333332
56716.0,3,2495.87
39999.0,3,9184.606666666667
42704.0,3,3018.3266666666664
34988.0,3,1958.3966666666665
40075.0,3,4566.54
33031.0,3,5793.389999999999
30588.0,3,3942.35
38909.0,3,1662.3066666666666
35607.0,3,2857.3633333333332
49689.0,3,14282.666666666666
32996.0,3,5986.93
54266.0,3,3418.15
32652.0,3,2058.396666666667
62302.0,3,1851.9533333333336
32312.0,3,3523.936666666667
41908.0,3,6635.363333333334
44273.0,3,1401.0366666666669
32324.0,3,1266.6933333333334
53246.0,3,3094.213333333333
79141.0,3,2890.6399999999994
36531.0,3,6625.87
31645.0,3,2932.0266666666666
30650.0,3,2131.09
35256.0,3,2343.04
42481.0,3,3271.44
34892.0,3,5451.086666666667
49630.0,3,2498.686666666667
81791.0,3,9773.596666666666
31074.0,3,2320.903333333333
53856.0,3,3140.123333333333
40757.0,3,5837.796666666666
38647.0,3,2841.2899999999995
53130.0,3,3811.5833333333326
49366.0,3,2126.3366666666666
51480.0,3,8829.006666666666
47814.0,3,4203.99
59954.0,3,4587.833333333333
51491.0,3,1472.1166666666666
33451.0,3,4192.046666666667
60608.0,3,6708.156666666667
79454.0,3,7625.333333333335
38538.0,3,2713.423333333333
46853.0,3,6130.4800000000005
53461.0,3,2867.556666666667
32486.0,3,2120.353333333333
36016.0,3,1580.9366666666665
31952.0,3,3849.683333333334
44734.0,3,3834.773333333333
